rank,song,artist,last_week,peak_position,weeks_on_chart,primary_genre
1,Choosin' Texas,Ella Langley,1,1,46,Country
2,Boston,Stella Lefty,2,2,22,Pop
3,"I Knew It, I Knew You",Taylor Swift,3,1,13,Pop
4,Hate That I Made You Love Me,Ariana Grande,5,1,14,Pop
5,Been By Now,Morgan Wallen,4,2,6,Country
6,Dracula,Tame Impala & JENNIE,6,5,49,Alternative/Pop
7,So Easy (To Fall In Love),Olivia Dean,7,5,49,Pop/Soul
8,Man I Need,Olivia Dean,9,2,54,Pop/Soul
9,Risk It All,Bruno Mars,11,4,27,Pop/R&B
10,Be Her,Ella Langley,10,2,29,Country
11,I Can't Love You Anymore,Ella Langley & Morgan Wallen,8,4,19,Country
12,Stupid Song,Olivia Rodrigo,14,3,12,Pop
13,Drop Dead,Olivia Rodrigo,13,1,20,Pop
14,I Just Might,Bruno Mars,12,1,34,Pop/R&B
15,Midnight Sun,Zara Larsson,15,14,33,Pop
16,BbY WOW,Karol G With Judeline & rusowsky,29,16,4,Latin/Pop
17,Janice STFU,Drake,17,1,16,Hip-Hop/Rap
18,Be By You,Luke Combs,19,12,29,Country
19,9 to 5,Dolly Parton,18,18,28,Country
20,Babydoll,Dominic Fike,22,16,30,Alternative/Pop
